TEAM,R,Name,Name2
 Astros,863,HOU,休士頓太空人
 Rays,857,TB,坦帕灣魔鬼魚
 Blue Jays,846,TOR,多倫多藍鳥
 Dodgers,830,LAD,洛杉磯道奇
 Red Sox,829,BOS,波士頓紅襪
 Giants,804,SF,舊金山巨人
 White Sox,796,CWS,芝加哥白襪
 Braves,790,ATL,亞特蘭大勇士
 Reds,786,CIN,辛辛那提紅人
 Athletics,743,OAK,奧克蘭運動家
 Rockies,739,COL,克羅拉多洛磯
 Brewers,738,MIL,密爾瓦基釀酒人
 Phillies,734,PHI,費城費城人
 Twins,729,MIN,明尼蘇達雙城
 Padres,729,SD,聖地牙哥教士
 Nationals,724,WSH,華聖頓國民
 Angels,723,LAA,洛杉磯天使
 Indians,717,CLE,克里夫蘭印第安人
 Yankees,711,NYY,紐約洋基
 Cardinals,706,STL,聖路易紅雀
 Cubs,705,CHC,芝加哥小熊
 Tigers,697,DET,底特律老虎
 Mariners,697,SEA,西雅圖水手
 Royals,686,KC,堪薩斯皇家
 D-backs,679,ARI,亞歷桑那響尾蛇
 Orioles,659,BAL,巴爾的摩金鶯
 Mets,636,NYM,紐約大都會
 Rangers,625,TEX,德州遊騎兵
 Marlins,623,MIA,邁阿密馬林魚
 Pirates,609,PIT,皮茲堡海盜
